id,starts,ends,duration,session_id,trial_id,t0,prod_onset_t0,prod_onset,prod_offset,stim_onset,stim_offset,prod_offset_t0,stim_onset_t0,stim_offset_t0
35,45691.9882907465,45705.4785112044,13.4902204578975,1,35,45697.9882907465,0,45697.9882907465,45699.4785112044,NaN,NaN,1.49022045789752,NaN,NaN
36,45697.2070826527,45710.6974531087,13.4903704560056,1,36,45703.2070826527,0,45703.2070826527,45704.6974531087,NaN,NaN,1.49037045600562,NaN,NaN
37,45702.4725216485,45715.9467523161,13.474230667598,1,37,45708.4725216485,0,45708.4725216485,45709.9467523161,NaN,NaN,1.47423066759802,NaN,NaN
38,45707.701793992,45721.1328052264,13.4310112344028,1,38,45713.701793992,0,45713.701793992,45715.1328052264,NaN,NaN,1.43101123440283,NaN,NaN
39,45713.1025735118,45726.5506445224,13.4480710106,1,39,45719.1025735118,0,45719.1025735118,45720.5506445224,NaN,NaN,1.44807101059996,NaN,NaN
40,45718.883272647,45732.27626438,13.3929917330024,1,40,45724.883272647,0,45724.883272647,45726.27626438,NaN,NaN,1.39299173300242,NaN,NaN
41,45726.1849073541,45739.6529481029,13.4680407487976,1,41,45732.1849073541,0,45732.1849073541,45733.6529481029,NaN,NaN,1.46804074879765,NaN,NaN
42,45734.6981816893,45748.0174043896,13.3192227002946,1,42,45740.6981816893,0,45740.6981816893,45742.0174043896,NaN,NaN,1.31922270029463,NaN,NaN
43,45740.5862917147,45754.1245615425,13.5382698277972,1,43,45746.5862917147,0,45746.5862917147,45748.1245615425,NaN,NaN,1.53826982779719,NaN,NaN
44,45745.9491923059,45759.4165130641,13.4673207581945,1,44,45751.9491923059,0,45751.9491923059,45753.4165130641,NaN,NaN,1.46732075819455,NaN,NaN
45,45751.6483396371,45765.2908780976,13.6425384605027,1,45,45757.6483396371,0,45757.6483396371,45759.2908780976,NaN,NaN,1.64253846050269,NaN,NaN
46,45757.2397024046,45770.6211242893,13.3814218846965,1,46,45763.2397024046,0,45763.2397024046,45764.6211242893,NaN,NaN,1.38142188469646,NaN,NaN
47,45763.0132616334,45776.5029420984,13.4896804649979,1,47,45769.0132616334,0,45769.0132616334,45770.5029420984,NaN,NaN,1.48968046499795,NaN,NaN
48,45768.8031406483,45782.2177620976,13.4146214493012,1,48,45774.8031406483,0,45774.8031406483,45776.2177620976,NaN,NaN,1.41462144930119,NaN,NaN
49,45774.4576985642,45787.9012296344,13.4435310702029,1,49,45780.4576985642,0,45780.4576985642,45781.9012296344,NaN,NaN,1.44353107020288,NaN,NaN
50,45779.5653696288,45793.2024281612,13.6370585324039,1,50,45785.5653696288,0,45785.5653696288,45787.2024281612,NaN,NaN,1.6370585324039,NaN,NaN
51,45785.183588596,45798.5948100899,13.4112214938941,1,51,45791.183588596,0,45791.183588596,45792.5948100899,NaN,NaN,1.41122149389412,NaN,NaN
52,45790.3009224074,45803.81366257,13.5127401626014,1,52,45796.3009224074,0,45796.3009224074,45797.81366257,NaN,NaN,1.5127401626014,NaN,NaN
53,45795.7016707782,45809.1156822355,13.4140114572947,1,53,45801.7016707782,0,45801.7016707782,45803.1156822355,NaN,NaN,1.41401145729469,NaN,NaN
54,45801.3739001865,45814.6728831522,13.2989829656944,1,54,45807.3739001865,0,45807.3739001865,45808.6728831522,NaN,NaN,1.29898296569445,NaN,NaN
55,45806.6822491942,45820.1957893463,13.5135401520965,1,55,45812.6822491942,0,45812.6822491942,45814.1957893463,NaN,NaN,1.51354015209654,NaN,NaN
56,45812.8629282565,45826.4440975218,13.5811692653006,1,56,45818.8629282565,0,45818.8629282565,45820.4440975218,NaN,NaN,1.58116926530056,NaN,NaN
57,45818.7624481324,45832.1735596277,13.4111114952975,1,57,45824.7624481324,0,45824.7624481324,45826.1735596277,NaN,NaN,1.41111149529752,NaN,NaN
58,45824.7546685167,45838.2028495259,13.4481810091966,1,58,45830.7546685167,0,45830.7546685167,45832.2028495259,NaN,NaN,1.44818100919656,NaN,NaN
59,45829.8429175372,45843.1874099062,13.3444923689967,1,59,45835.8429175372,0,45835.8429175372,45837.1874099062,NaN,NaN,1.34449236899673,NaN,NaN
60,45834.9962585777,45848.5062187767,13.5099601990005,1,60,45840.9962585777,0,45840.9962585777,45842.5062187767,NaN,NaN,1.50996019900049,NaN,NaN
61,46148.9319720067,46162.3258408751,13.3938688683993,2,1,46154.9319720067,0,46154.9319720067,46156.3258408751,NaN,NaN,1.3938688683993,NaN,NaN
62,46154.3229406921,46167.7566589563,13.4337182641975,2,2,46160.3229406921,0,46160.3229406921,46161.7566589563,NaN,NaN,1.43371826419752,NaN,NaN
63,46160.6364954643,46174.1769621102,13.5404666458999,2,3,46166.6364954643,0,46166.6364954643,46168.1769621102,NaN,NaN,1.54046664589987,NaN,NaN
64,46165.8033575396,46179.3081847258,13.5048271862033,2,4,46171.8033575396,0,46171.8033575396,46173.3081847258,NaN,NaN,1.50482718620333,NaN,NaN
65,46171.7774173928,46185.268594786,13.4911773932035,2,5,46177.7774173928,0,46177.7774173928,46179.268594786,NaN,NaN,1.49117739320354,NaN,NaN
66,46176.8702105948,46190.5300154314,13.6598048365995,2,6,46182.8702105948,0,46182.8702105948,46184.5300154314,NaN,NaN,1.65980483659951,NaN,NaN
67,46182.4691661232,46195.9518336453,13.4826675220975,2,7,46188.4691661232,0,46188.4691661232,46189.9518336453,NaN,NaN,1.48266752209747,NaN,NaN
68,46187.8728946267,46201.2974530298,13.4245584031014,2,8,46193.8728946267,0,46193.8728946267,46195.2974530298,NaN,NaN,1.4245584031014,NaN,NaN
